Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2020-02-11;3225;0208-1;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.284;0.0;0.284;Центральный склад;2020-02-19;Лист 6 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;403.565;403.281;0.284;2020-02-11
2020-02-11;3225;0208-1;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;Центральный склад;2020-02-19;Лист 6 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;1952.064;1952.064;0.0;2020-02-11
2020-02-11;3231;0208-1;Швеллер 18 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;0.0;21.276;0.0;21.276;Центральный склад;2020-02-19;Швеллер 18 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014;7628.4;7607.124;21.276;2020-02-11
2020-02-11;3270;0210-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.044;0.0;0.044;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;194.083;194.039;0.044;2020-02-11
2020-02-11;3271;0210-1;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;62.762;0.0;62.762;Центральный склад;2020-02-19;Лист 16 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;2717.743;2654.9809999999998;62.762;2020-02-11
2020-02-11;3273;0210-1;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;5.76;0.0;5.76;Центральный склад;2020-02-19;Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;532.015;526.255;5.76;2020-02-11
2020-02-11;3280;0210-1;Швеллер 18 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;0.0;42.552;0.0;42.552;Центральный склад;2020-02-19;Швеллер 18 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014;7607.124;7564.572;42.552;2020-02-11
2020-02-11;3709;02151-1;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;672.72;0.0;672.72;Центральный склад;2020-02-19;Лист 8 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;1149.769;477.049;672.72;2020-02-11
2020-02-12;3193;0201-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;1.54;0.0;1.54;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;194.039;192.499;1.54;2020-02-12
2020-02-12;3196;0201-1;Лист 3 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;154.25;0.0;154.25;Центральный склад;2020-02-19;Лист 3 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;847.8;693.55;154.25;2020-02-12
2020-02-12;3198;0201-1;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;101.59499999999997;504.876;101.59499999999997;403.281;Центральный склад;2020-02-19;Лист 6 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;403.281;0.0;403.281;2020-02-12
2020-02-12;3198;0201-1;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;101.59499999999997;0.0;101.59499999999997;Центральный склад;2020-02-19;Лист 6 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;1952.064;1850.469;101.59499999999997;2020-02-12
2020-02-12;3199;0201-1;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;582.11;0.0;582.11;Центральный склад;2020-02-19;Лист 10 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;18271.182;17689.072;582.11;2020-02-12
2020-02-12;3200;0201-1;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;1051.65;0.0;1051.65;Центральный склад;2020-02-19;Лист 4 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;8607.589999999998;7555.939999999999;1051.65;2020-02-12
2020-02-12;3203;0201-1;Труба профильная 100х100х4 ГОСТ 30245-94100 09Г2С-12 ГОСТ 19281-2014;0.0;350.32;0.0;350.32;Центральный склад;2020-02-19;Труба профильная 100х100х4 ГОСТ 30245-94100 09Г2С-15 ГОСТ 19281-2014;7882.56;7532.240000000001;350.32;2020-02-12
2020-02-12;3204;0201-1;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;2110.22;0.0;2110.22;Центральный склад;2020-02-19;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;7061.152;4950.932000000001;2110.22;2020-02-12
2020-02-12;3205;0201-1;Швеллер 18 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;0.0;10.01;0.0;10.01;Центральный склад;2020-02-19;Швеллер 18 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014;7564.572;7554.562;10.01;2020-02-12
2020-02-12;3738;02177-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.792;0.0;0.792;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;192.499;191.707;0.792;2020-02-12
2020-02-12;3744;02177-1;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;25.254;0.0;25.254;Центральный склад;2020-02-19;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;4950.932000000001;4925.678000000001;25.254;2020-02-12
2020-02-12;3745;02177-1;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;882.792;0.0;882.792;Центральный склад;2020-02-19;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;7873.812;6991.0199999999995;882.792;2020-02-12
2020-02-12;3747;02177-1;Уголок 90х90х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;197.12;0.0;197.12;Центральный склад;2020-02-19;Уголок 90х90х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;15393.096;15195.975999999999;197.12;2020-02-12
2020-02-12;3750;02177-1;Уголок 100х100х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;84.74;0.0;84.74;Центральный склад;2020-02-19;Уголок 100х100х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;2340.0;2255.26;84.74;2020-02-12
2020-02-12;3751;02177-1;Уголок 125х125х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;728.046;0.0;728.046;Центральный склад;2020-02-19;Уголок 125х125х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;24295.2;23567.154000000002;728.046;2020-02-12
2020-02-12;3753;02177-1;Уголок 75х75х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;431.796;0.0;431.796;Центральный склад;2020-02-19;Уголок 75х75х8 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;13530.0;13098.204;431.796;2020-02-12
2020-02-14;835;922000-2;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.506;0.0;0.506;Центральный склад;2020-02-19;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;191.707;191.201;0.506;2020-02-14
2020-02-14;838;922000-2;Лист 8 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;384.371;0.0;384.371;Центральный склад;2020-02-19;Лист 8 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;477.049;92.678;384.371;2020-02-14
