Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
12;921922;1;2020-01-22;00000012038;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;2704.452;2705.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
13;921922;1;2020-01-22;00000012146;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1982.928;1972.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
14;921922;1;2020-01-22;00000015136;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;451.227;452.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
15;921922;1;2020-01-22;00000015193;Уголок 45х45х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;131.64;132.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
16;921922;1;2020-01-22;00000015476;Уголок 25х25х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;23.922;24.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
17;921922;1;2020-01-22;00000013501;Швеллер 12 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;12.132;0.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
18;921922;1;2020-01-22;00-00000512;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;383.028;0.0;0.0;1.0;0.0;ИНТЭКО;№102/12-19, Спецификация №  1 от 23.12.2019;0;0.0;0;Опора промежуточная ПГ220-4 Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921922-1;1;0.0;0.0;0.0;0.0;0.0
979;921980;1;2020-01-22;00000004440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;1.081;1.081;0.0;1.0;0.0;НЗМК ООО;55/08-19, Спецификация №  2 от 05.12.2019;0;0.0;0;Стойка металлическая МШК1-10-80 Проект: 6226и;921980-1;1;0.0;0.0;0.0;0.0;0.0
980;921980;1;2020-01-22;00000010904;Лист 25 ГОСТ 19903-74 С345-3 ГОСТ 27772-2015;1285.01;1286.0;0.0;1.0;0.0;НЗМК ООО;55/08-19, Спецификация №  2 от 05.12.2019;0;0.0;0;Стойка металлическая МШК1-10-80 Проект: 6226и;921980-1;1;0.0;0.0;0.0;0.0;0.0
981;921980;1;2020-01-22;00000010905;Лист 6 ГОСТ 19903-74 С345-3 ГОСТ 27772-2015;1611.449;2845.0;0.0;1.0;0.0;НЗМК ООО;55/08-19, Спецификация №  2 от 05.12.2019;0;0.0;0;Стойка металлическая МШК1-10-80 Проект: 6226и;921980-1;1;0.0;0.0;0.0;0.0;0.0
