Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;Возможный заказ;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
9588;02874;1;2020-05-31;00000012038;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1033.907;0.0;1033.907;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;0.0;1033.907
9589;02874;1;2020-05-31;00000012146;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;965.324;0.0;965.324;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;0.0;965.324
9590;02874;1;2020-05-31;00000015136;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;2299.915;0.0;2299.915;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;2299.915;0.0
9591;02874;1;2020-05-31;00000015165;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;861.209;0.0;861.209;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;861.209;0.0
9592;02874;1;2020-05-31;00-00000512;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1705.49;0.0;1705.49;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;0.0;1705.49
9586;02874;1;2020-05-31;00000011283;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;69.269;0.0;69.269;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;69.269;0.0
9593;02874;1;2020-05-31;00-00002762;Табличка 63х80 12Х18Н10Т;0.02;0.0;0.02;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Двухцепная ответвительная опора   1У110-8у
Проект: 19-65-03-302-КС";02874-1;1.0;0.0;0.0;0.0;0.0;0.0;0.02
9547;02871;1;2020-05-31;00000011281;Уголок 100х100х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;624.409;0.0;624.409;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Подставка   Н=10м опоры 1У110-4у+10
Проект: 19-65-03-302-КС";02871-1;1.0;0.0;0.0;0.0;0.0;624.409;0.0
9549;02871;1;2020-05-31;00000012037;Уголок 125х125х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1027.236;0.0;1027.236;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Подставка   Н=10м опоры 1У110-4у+10
Проект: 19-65-03-302-КС";02871-1;1.0;0.0;0.0;0.0;0.0;0.0;1027.236
9553;02872;1;2020-05-31;00000011726;Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;123.586;0.0;123.586;0.0;0.0;МП ЭЛЕКТРОСПЕЦСТРОЙ ООО;28/04-20 от 29.04.2020, Спецификация №1 от 29.04.2020;0;0.0;0;"Нижняя секция   Н=8,5м опоры 1П110-6ау
Проект: 19-65-03-302-КС";02872-1;1.0;0.0;0.0;0.0;0.0;0.0;123.586
