Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит;Остаток дефицита;Списание из Цент склада;Списание из ТН;Списание из Поступлений;ТН
2020-05-13;02734-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;256.064;256.064;0.0;0.0;0.0;0.0
2020-05-13;02734-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;60.112;0.0;60.112;0.0;0.0;0.0
2020-05-13;02739-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Швеллер 14 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;571.265;0.0;571.265;0.0;0.0;0.0
2020-05-13;02720-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 63х63х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;7.782;0.0;7.782;0.0;0.0;0.0
2020-05-13;02734-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 70х70х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;28.068;0.0;28.068;0.0;0.0;0.0
2020-05-13;02722-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;33.856;0.0;33.856;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;86.548;86.548;0.0;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;6423.144;0.0;6423.144;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Круг 16 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;40.628;0.0;40.628;0.0;0.0;0.0
2020-05-13;02723-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 63х63х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;27.477;0.0;27.477;0.0;0.0;0.0
2020-05-13;02723-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;43.785;43.785;0.0;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба профильная 100х100х4 ГОСТ 30245-94100 09Г2С-12 ГОСТ 19281-2014;576.8;576.8;0.0;0.0;0.0;0.0
2020-05-13;02721-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;233.496;233.496;0.0;0.0;0.0;0.0
2020-05-13;02721-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 63х63х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;36.636;0.0;36.636;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;111.482;0.0;111.482;0.0;0.0;0.0
2020-05-13;02721-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Швеллер 16 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19821-2014;969.384;0.0;969.384;0.0;0.0;0.0
2020-05-13;02723-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;37.917;37.917;0.0;0.0;0.0;0.0
2020-05-13;02723-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;16.218;0.0;16.218;0.0;0.0;0.0
2020-05-13;02722-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Швеллер 16 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19821-2014;431.928;0.0;431.928;0.0;0.0;0.0
2020-05-13;02722-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 63х63х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;24.424;0.0;24.424;0.0;0.0;0.0
2020-05-13;02722-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;97.288;97.288;0.0;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Табличка 63х80 12Х18Н10Т;0.28;0.28;0.0;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Швеллер 18 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;587.538;0.0;587.538;0.0;0.0;0.0
2020-05-13;02722-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;84.248;84.248;0.0;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;472.038;0.0;472.038;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;226.072;226.072;0.0;0.0;0.0;0.0
2020-05-13;02515-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;196.532;0.0;196.532;0.0;0.0;0.0
2020-05-13;02724-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;16.928;0.0;16.928;0.0;0.0;0.0
2020-05-13;02720-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Швеллер 16 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19821-2014;161.564;0.0;161.564;0.0;0.0;0.0
2020-05-13;02724-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;64.86;64.86;0.0;0.0;0.0;0.0
2020-05-13;02724-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;56.652;56.652;0.0;0.0;0.0;0.0
2020-05-13;02721-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;65.34;0.0;65.34;0.0;0.0;0.0
2020-05-13;02721-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;202.2;202.2;0.0;0.0;0.0;0.0
2020-05-13;02734-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Швеллер 14 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;522.612;271.68899999999996;250.923;0.0;0.0;0.0
2020-05-13;02723-1;ГПН-РАЗВИТИЕ ООО;ДП_44114_30915_33518 от 23.10.2018, Спецификация №20(1982) от 17.04.2020;Швеллер 16 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19821-2014;245.097;0.0;245.097;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 63х63х5 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1397.849;1397.849;0.0;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 70х70х6 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;652.174;0.0;0.0;0.0;652.174;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 125х125х8 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1000.0;0.0;1000.0;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 125х125х10 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1058.824;0.0;1058.824;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 160х160х16 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;2117.647;0.0;2117.647;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Труба 114х5 ГОСТ 10704-91 09Г2С-8 ГОСТ 19281-2014;117.647;0.0;117.647;0.0;0.0;0.0
2020-05-14;02525-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;16.148;16.148;0.0;0.0;0.0;0.0
2020-05-14;02525-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.022;0.022;0.0;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 80х80х6 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1739.13;0.0;1739.13;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 160х160х10 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1250.0;0.0;1250.0;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Круг 28 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014;222.222;0.0;222.222;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Круг 14 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19821-2014;235.294;0.0;235.294;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Труба профильная 60х60х4 ГОСТ 30245-9460 С345-5 ГОСТ 27772-2015;222.222;0.0;222.222;0.0;0.0;0.0
2020-05-14;02525-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;7.963;0.0;7.963;0.0;0.0;0.0
2020-05-14;02554-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;256.056;256.056;0.0;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 160х160х14 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1058.824;65.64800000000014;993.1759999999999;0.0;0.0;0.0
2020-05-14;02525-1;ЭТАЛОН-Н ООО ЖДСК;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;2.098;0.0;2.098;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Труба 51х3,5 ГОСТ 10704-91 09Г2С-8 ГОСТ 19281-2014;117.647;0.0;0.0;0.0;117.647;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 160х160х12 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1764.706;7.411999999999807;1757.294;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Уголок 40х40х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;645.161;645.161;0.0;0.0;0.0;0.0
2020-05-14;921674-1;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;ДП_64025_30915_33126, Спецификация №  6(1975) от 14.10.2019;Лист ПВ 506 СТО АМСЧ 23083253-001-2007 ст3сп ГОСТ 380-2005;2375.0;2375.0;0.0;0.0;0.0;0.0
2020-05-14;02554-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;105.889;105.889;0.0;0.0;0.0;0.0
2020-05-14;02561-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;40.23;40.23;0.0;0.0;0.0;0.0
2020-05-14;02561-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;301.122;0.0;301.122;0.0;0.0;0.0
2020-05-14;02561-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;11.564;0.0;11.564;0.0;0.0;0.0
2020-05-14;02561-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Лист 30 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;467.792;0.0;467.792;0.0;0.0;0.0
2020-05-14;02561-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1324.166;0.0;0.0;0.0;1324.166;0.0
2020-05-14;02561-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;504.706;504.706;0.0;0.0;0.0;0.0
2020-05-14;02561-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;138.538;138.538;0.0;0.0;0.0;0.0
2020-05-14;02561-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1225.804;0.0;1225.804;0.0;0.0;0.0
2020-05-14;02561-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;03/96-19 от 27.12.2019, Спецификация №доп.соглашение 1 от 18.03.2020;Уголок 125х125х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1731.52;0.0;1731.52;0.0;0.0;0.0
